Kanji,On_Reading,Kun_Reading,Meaning,Examples,Components,Koohii_Story_1,Koohii_Story_2,Seen,Update_Date
備,ビ,そな・える/そな・わる,preparation,備える (そなえる) to furnish with; to equip with<br>設備 (せつび) equipment; facilities<br>準備 (じゅんび) preparation; arrangements,人: person 艸: grass; plants; grass radical (no. 140) 厂: wild goose; trailing cliff radical (no. 27) 用: utilize; business; service; use; employ,Mr. T wants to climb up and pick the flowers at the top of the cliff. He equips himself with screwdrivers to use as climbing spikes to reach the top of the cliff. Imagine a large AMMO belt full of philips screwdrivers instead of bullets.,An RPG where you´re using Mr T as a character. Before you enter a battle/ you equip the flower cliff screwdriver. This is a small screwdriver obtained at the bottom of a cliff that/ when used in battle/ shoots out pink flowers. When they touch the ground in front of the enemy/ they create a massive cliff/ and the ground under the enemy falls away into the sea. Picture being at the item select menu and EQUIPping this item just before facing a tough boss.,,
優,ユウ,すぐ・れる/やさ・しい,actor; excel; surpass; gentleness,俳優 (はいゆう) actor<br>優れる (すぐれる) to surpass; to excel<br>優勝 (ゆうしょう) overall victory; championship<br>優秀 (ゆうしゅう) superiority; excellence<br>女優 (じょゆう) actress<br>優しい (やさしい) kind; gentle; amiable,人: person 憂: melancholy; grieve; lament; be anxious; sad; unhappy,The A-Team is on a mission to help Hamlet. With uncharacteristic tenderness/ Mr. T consoles the melancholy Hamlet. 'No/ I really DO pity the poor foo. There/ there little guy...take my hanky'. (Careful: benevolence (#885).,Someone can´t be melancholy for long if just one person treats them with a little tenderness.,,
共,キョウ,とも,together; with; alike; both,共に (ともに) jointly; at the same time<br>共同 (きょうどう) co-operation; collaboration<br>共通 (きょうつう) common; shared,八: eight; eight radical (no. 12),The character for deluge (#1799) gave me the idea to use together as a primitive for Noah´s Ark. Noah kept plenty of salad on board to entice the animals with their animal legs to scurry on board together/ two by two.,The conjoined twins/ who are always together/ have trouble eating together because one is a vegetarian/ eating salad and the other is a avid meat eater/ eating chicken legs.[Thanks fuaburisu!].,,
具,グ,,container; utensil; detailed; preparation,具体 (ぐたい) concrete; tangible<br>具体的 (ぐたいてき) concrete<br>家具 (かぐ) furniture<br>具合 (ぐあい) condition; state; health<br>道具 (どうぐ) tool; apparatus; device,目: eye; class; look; insight; experience; care; favor 八: eight; eight radical (no. 12),Keep an eye on your tools while you work at the table.,One tool nobody should be without - a Mordor-type eye that floats over the workbench. It jerks around/ monitoring all who come near/ and if anyone so much as removes a stapler from the bench - ZAP.,,
列,レツ,,column; row; rank,列 (れつ) row; line; column<br>列車 (れっしゃ) train,歹: bare bone; bad; wrong; death radical (n. 78) 刀: sword; saber; knife,A line of skeletal warriors/ all armed with sabers.,Skeleton army rank and file. Dudes made of bones carrying sabres.,,
刻,コク,きざ・む,chop; mince; carve; engrave,時刻 (じこく) time (shown on a clock)<br>深刻 (しんこく) serious; grave<br>遅刻 (ちこく) being late,亥: sign of the hog; 9-11PM; twelfth sign of the Chinese zodiac 刀: sword; saber; knife,This famous ninja (I always use ninjas with sabres/ distinct from samurai) used to engrave the kanji for his name onto acorns/ and throw the acorns to distract his enemies. The legend goes that by the time his victims would pick up the acorn and read the engraved kanji/ they were already dead.,While it´s traditional for lovers to engrave their names on a tree in many countries/ in Japan/ however/ it was traditional for a samurai to signify his undying love for a woman by engraving the kanji of her name on an acorn with his sabre.,,
割,カツ,さ・く/わり/わ・る/わ・れる,proportion; split; divide,割る (わる) to divide; to split; to break<br>役割 (やくわり) part; role<br>割れる (われる) to break; to split; to be smashed<br>割合 (わりあい) ratio; percentage,害: harm; injury 刀: sword; saber; knife,[proportion; comparatively; divide; cut; separate; split] Hey/ don´t take this out of proportion! I did you just a little harm/ no need to come over here with a saber...,As shown on this pie-chart/ the proportion of people harmed by sabres is relatively a small slice compared to those harmed by guns.,,
努,ド,つと・める,diligent; toil,努力 (どりょく) effort; exertion; hard work,奴: guy; slave; manservant; fellow 力: power; strength; strong; strain; bear up; exert,GUY POWER!!! Body builders toiling in the gym all day....,Guy + Power: To reach a position of power in the company/ the average guy has to toil very hard for many years.,,
務,ム,つと・める,duty; task,事務 (じむ) office work<br>義務 (ぎむ) duty; obligation<br>事務所 (じむしょ) office<br>公務員 (こうむいん) government worker,矛: halberd; arms; festival float 攵: strike; hit; folding chair radical variant (no. 66) 力: power; strength; strong; strain; bear up; exert,It is with the halberd he holds that the taskmaster exerts his power over those actually performing the task.,So many video games have a 'boss' stage you must pass in order to advance to the next level. Here/ your task is to use your halberd to beat the taskmaster with the huge/ bulging muscles.,,
勤,キン/ゴン,つと・まる/つと・める,be employed; serve,勤め (つとめ) service; business; responsibility<br>勤める (つとめる) to work (for); to be employed (at),,,,,
危,キ,あぶ・ない/あや・うい/あや・ぶむ,dangerous; fear,危険 (きけん) danger; peril<br>危ない (あぶない) dangerous; risky; hazardous,勹: wrapping enclosure; wrapping radical (no. 20) 厄: unlucky; misfortune; bad luck; disaster,If you live a dangerous life/ eventually you're bound to get unlucky.,While rock climbing you are bound to the cliff by just your fingerprints/ which is why it´s so dangerous.,,
吸,キュウ,す・う,inhale; suck,吸収 (きゅうしゅう) absorption<br>呼吸 (こきゅう) breathing; respiration<br>吸う (すう) to smoke; to breathe in | to suck,口: mouth 及: reach out; exert; exercise; cause,Imagine a baby reaching out and holding mom´s breast as if it were bottle/ and sucking on it to get some milk.,An open mouth and reaching hands : a baby wants to suck at his mother´s breast.,,
呼,コ,よ・ぶ,call; invite,呼吸 (こきゅう) breathing; respiration<br>呼ぶ (よぶ) to call out (to); to call,口: mouth 乎: question mark; ?,'Budd' - 'weis' - 'er' call the frogs mouths from the liliy pads/ working to get you hooked on beer.,I´m a lazy fisher/ so I genetically engineered a lily pad with a fishing hook at the stem and a mouth to call me whenever it catches something.,,
命,ミョウ/メイ,いのち,life; fate; command,命 (いのち) life; lifetime<br>命じる (めいじる) to order; to command<br>命令 (めいれい) order; command<br>生命 (せいめい) life<br>一生懸命 (いっしょうけんめい) with all one's might; very hard,人: person 一: one; one radical (no.1) 口: mouth 卩: seal radical (no. 26),When you´re born/ your fate is measured/ fitted/ and stamped onto your soul. Good luck defying it.,Your ability to resist FATE can be fit on a postage stamp.,,
和,オ/ワ,なご・む/なご・やか/やわ・らぐ/やわ・らげる,harmony; Japan; Japanese style; peace; soften,和菓子 (わがし) Japanese sweets<br>平和 (へいわ) peace; harmony,禾: 2-branch tree radical (no. 115) 口: mouth,The first step to harmony is having enough wheat to feed every mouth in the world. Once we are all fed it is easier to get a long in harmony.,People who live in harmony with nature live in the country. they are yokels or hillbillys. See Billy-bob sitting on the porch in their denhim dungarees a sheaf of wheat/ sticking from their mouth.,,
喜,キ,よろこ・ぶ,rejoice; enjoy; congratulations,喜び (よろこび) joy; delight<br>喜ぶ (よろこぶ) to be happy,吉: good luck; joy; congratulations 口: mouth,The samurai sitting on the drum is on a stage/ and the people below him are rejoicing with their mouths in unison. It helps me to imagine the placement this way.,In the taiko (drum (#1444)) song of rejoicing/ the drummers shout with open mouths.,,
因,イン,よ・る,to depend on; follow; be connected with,原因 (げんいん) cause,囗: box or enclosure radical (no. 31); box 大: large; big,We once had a dog with big paws // and oh what great trouble he´d cause // we built a huge pen // to keep him pent in // and stop him from breaking more laws //.,Why is there poop on the kitchen floor? Oh/ the cause is that you kept the dog pent in the house all day. Next time remember to walk him.,,
困,コン,こま・る,annoyed; distressed,困難 (こんなん) difficulty; hardship<br>困る (こまる) to be troubled; to be bothered,囗: box or enclosure radical (no. 31); box 木: tree; wood,I´m supposed to make an enclosure for my tree/ but if I use its wood for the enclosure/ there won´t be anything left to be pent-in. What a quandary!,You are pent in the garden of eden with one tree/ but outside is the whole world to explore! What a quandary -- should you stay in paradise with the tree of knowledge or should you go out into the world?,,
在,ザイ,あ・る,to exist; countryside,存在 (そんざい) existence; being<br>滞在 (たいざい) stay; sojourn<br>現在 (げんざい) current; present time,人: person 土: soil; earth; ground; Turkey,Genie in the bottle does exist but you need to dig deep into the soil to find one.,You wipe the soil from the bottle/ only to have a genie float out above you/ saying: ´I am the genie in a bottle/ what is your wish?´ So now you know that they do exist.,,
型,ケイ,かた,type; model; shape,典型 (てんけい) model; archetypal; representative<br>型 (かた) mould; template; type; pattern<br>髪型 (かみがた) hair style,刑: punish; penalty; sentence; punishment 土: soil; earth; ground; Turkey,A famous ninja once pressed his two hands and saber into the soil of his temple/ before going onto a mission from which he never came back. Think of some sort of signature that he left behind him. The mould of his two hands and saber has since become a popular attraction in the area.,As a PUNISHMENT they made me lay face down in the DIRT leaving a nice imprinted MOULD of my whole BODY.,,
